Calories (kcal),Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Move Minutes count,Inactive duration (ms),Walking duration (ms),Day
2293.567743951983,5095.437924981117,1.2969551017989351,10.90999984741211,0.2497691512107849,11133,159.0,65211188,9919209.0,Saturday
2261.3018093451183,7296.081788480282,1.0726533754637817,6.559999942779541,0.2929014563560486,13498,186.0,69904138,10994731.0,Sunday
2075.5584295156705,2383.110093593597,1.5729009012885935,15.18000030517578,0.2883632183074951,6117,89.0,62814115,5967889.0,Monday
1911.1722643961505,1699.4587711691854,0.5129478451010396,1.6100000143051147,0.25740811228752136,4843,68.0,78285760,3144654.0,Tuesday
1955.8036966984846,1507.6650440692902,0.5235656303008765,1.3658298254013062,0.2510583996772766,4762,66.0,73269626,5026225.0,Wednesday
1973.8221863609838,1748.0609948039057,0.6103405827034245,16.739999771118164,0.256357342004776,4867,70.0,74152350,4538276.0,Thursday
2051.285714723137,2754.3720318079,0.625160707058082,1.3422513008117676,0.2490309923887253,6707,92.0,74167010,5928477.0,Friday
1802.0177118658703,677.8992590904237,0.35341298466445403,1.2400000095367432,0.3044082522392273,1724,19.0,85519059,880941.0,Saturday
2002.3548360306727,1621.7318898439407,0.7121788625755827,3.910000085830689,0.2526400089263916,3638,49.0,79378817,4409381.0,Sunday
2025.0958236503834,2337.663642823696,0.6096687023587383,9.300000190734863,0.2510583996772766,6968,94.0,72714551,6345522.0,Monday
2347.9577276146915,8139.141015997469,0.5918874617025719,15.720000267028807,0.24981485307216644,14286,179.0,71678378,10584304.0,Tuesday
2341.1607271392777,8568.047859260501,0.6600277225248097,2.359999895095825,0.2615191638469696,15332,191.0,67727973,10522175.0,Wednesday
2127.8606218179866,2234.1629320377083,0.5340207930046139,2.1199998855590816,0.2510583996772766,5602,104.0,74399178,5437222.0,Thursday
2070.0152726289166,3408.565117836598,0.7795401916692528,6.639999866485597,0.27910715341567993,7015,91.0,73362428,5601053.0,Friday
1986.744760520108,2869.493230938912,0.6982941685183126,2.6700000762939453,0.25858452916145325,5419,67.0,81633333,4300824.0,Saturday
2128.65807558626,2684.7511004209523,0.6832688256954323,2.0199999809265137,0.2522157430648804,6414,90.0,76867211,6713481.0,Sunday
2069.8904965036104,2896.28263665371,0.5570689012519114,1.399999976158142,0.24835245311260226,6460,82.0,75058621,5598855.0,Monday
2073.0290236604637,2800.7628522998803,2.0713909476816164,8.090000152587889,0.2929014563560486,6722,93.0,72224426,5813541.0,Tuesday
2210.6553141174586,6105.157754529999,0.725133219980734,8.300000190734862,0.2929014563560486,11096,142.0,69745988,8330929.0,Wednesday
2116.703347585911,5081.998602281526,0.7394327898799841,1.4721238613128662,0.24920278787612915,9375,119.0,69611156,7363961.0,Thursday
2322.0242773550685,7750.809915721416,0.8479735024290274,1.9900000095367432,0.2723215222358704,13658,168.0,69844468,10127066.0,Friday
